,job_id,date_posted,company_name,job_title,job_type,description_summary,experience,minimum_qualification,qualification,location,country,source_link,apply_link
10,R244529,2024-05-30,Dell Federal Systems LP (1003),Technical Account Management Consultant,FULL_TIME,Federal Technical Account Management Consultant Clients around the globe put Dell Technologies technology at the heart of their IT departments.,12+ years of related experience with a Bachelor’s degree; or 8+ years with a Master’s degree; or 5+ years with a PhD; or equivalent experience,U.S. citizen and must have a TS/SCI with CI polygraph clearance,Strong project management skills with an in-depth understanding of system architecture and design,"Salt Lake City, Utah",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Draper-Utah-United-States/Technical-Account-Management-Consultant_R244529,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Draper-Utah-United-States/Technical-Account-Management-Consultant_R244529
11,R246689,2024-05-30,Dell Technologies,Inside Sales Account Manager - Medium Business,FULL_TIME,Drive sales for ground-breaking products by building positive relationships with customers through digital communication.,2 - 4 years relevant experience,Essential Requirements,"Ability to articulate the value proposition of our product/service offerings, Potential to use multiple sales tools simultaneously to complete sales transactions, Ability to establish relationships with customers and partners","Round Rock, Texas and/or Nashville, Tennessee",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Inside-Sales-Account-Manager---Medium-Business_R246689,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Round-Rock-Texas-United-States/Inside-Sales-Account-Manager---Medium-Business_R246689
12,R242346,2024-05-30,Dell,Inside Sales Representative (Hybrid in Nashville),Full Time,Inside Sales Representative for Small Business sales team,1-3 years of general sales or customer-facing professional experience,Bachelor's degree,"Results-oriented team player with strong communication, presentation, and problem-solving skills","Nashville, Tennessee, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Nashville-Tennessee-United-States/Inside-Sales-Representative--Nashville-_R242346,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Nashville-Tennessee-United-States/Inside-Sales-Representative--Nashville-_R242346
13,R246053,2024-05-30,Dell International Services India Pvt Ltd (7451),Principal Software Engineer - IT,FULL_TIME,IT Principal Software Engineer Be a part of a team that’s ensuring Dell Technologies' product integrity and customer satisfaction.,8+ years of working experience in Application Engineering,Total 8+ years of working experience in Application Engineering,"Strong knowledge of Linux Operating systems, 3 Years of experience in GoLang, Experience with Kubernetes, Docker Containers, Compute, storage, network, tools & automation.","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Principal-Software-Engineer---IT_R246053-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Principal-Software-Engineer---IT_R246053-1
14,R246213,2024-05-30,Dell Technologies,Cloud Platforms Architect,FULL_TIME,Cloud Platforms Architect Dell Technologies creates technology solutions for a changing world.,12-15 years software industry experience,Post-secondary degree in Computer Science or equivalent degree,Proven professional experience with building and managing enterprise grade software solutions,"Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Cloud-Platforms-Architect_R246213-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Cloud-Platforms-Architect_R246213-1
15,R244434,2024-05-30,Dell International Services India Pvt Ltd (7451),"Senior Consultant-Netoworking, Firewall & NSX",FULL_TIME,"Senior Consultant Today, every organization needs to be digital, powered by data, running in a multi-cloud world, ready to take on anything.","At least 10+ years of experience in network architecture, design, and implementation",Bachelor's degree in Computer Science or related field,"Strong knowledge of networking principles, protocols, and technologies, including TCP/IP, DNS, DHCP, VLANs, routing, switching, firewalls, and load balancers","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Senior-Consultant-Netoworking_R244434,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Senior-Consultant-Netoworking_R244434
16,R244085,2024-05-29,Dell International Services India Pvt Ltd (7451),AIML OPS Engineer for Personalization Platform,FULL_TIME,IT Senior Software Engineer (AIML OPS Engineer) Be a part of a team that’s ensuring Dell Technologies' product integrity and customer satisfaction.,Strong problem-solving and critical thinking skills,Essential Requirements: Design and implement MLOps pipelines for automating machine learning workflows,Desirable Requirements: Experience working in an agile environment,"Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/AIML-OPS-Engineer-for-Personalization-Platform_R244085,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/AIML-OPS-Engineer-for-Personalization-Platform_R244085
17,R243862,2024-05-29,Dell International Services India Pvt Ltd (7451),Account Manager Inside Sales,FULL_TIME,Inside Sales Account Manager,3+ Years of customer selling experience,Bachelor's degree,Ability to articulate the value proposition of our product/service offerings,"Gurgaon, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Gurgaon-India/Account-Manager-Inside-Sales_R243862-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Gurgaon-India/Account-Manager-Inside-Sales_R243862-1
18,R244605,2024-05-29,Dell International Services India Pvt Ltd (7451),Data Science Consultant - Gen AI,FULL_TIME,Data Science Consultant - Gen AI Data Science is all about breaking new ground to enable businesses to answer their most urgent questions.,12 to 15 years of related work experience,Bachelor’s degree / Master’s degree,"Advanced statistical skills and appropriate Mathematical knowledge with familiarity with large language models (e.g., GPT-3, GPT-4, BERT) and Gen AI products (e.g. langchain, vector databases, IR systems).",Bangalore/Hyderabad/Gurgaon,India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Data-Science-Consultant_R244605,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Data-Science-Consultant_R244605
19,R244609,2024-05-29,Dell International Services India Pvt Ltd (7451),Data Science Consultant,FULL_TIME,Data Science Consultant Data Science is all about breaking new ground to enable businesses to answer their most urgent questions.,12 to 15 years of related work experience,Advanced statistical skills and appropriate Mathematical knowledge,"Solid in SQL, skilled in Python or R ( and other job-related programming languages) to implement statistical and machine learning models (Recommenders, Prediction, Classification, Clustering, etc.) in big data and Cloud environments, including Azure or AWS",Bangalore/Hyderabad/Gurgaon,India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Data-Science-Consultant_R244609-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Data-Science-Consultant_R244609-1
20,R244618,2024-05-29,Dell International Services India Pvt Ltd (7451),Data Science Senior Advisor,FULL_TIME,Data Science is all about breaking new ground to enable businesses to answer their most urgent questions.,8 to 12 years of related work experience,Advanced statistical skills and appropriate Mathematical knowledge,"Solid in SQL, skilled in Python or R (and other job-related programming languages)",Bangalore/Hyderabad,India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Data-Science-Senior-Advisor_R244618,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Data-Science-Senior-Advisor_R244618
21,R244513,2024-05-29,Dell Technologies,"Principal Site Reliability Engineer -DevOps,Go-Lang &amp; Ansible,Terraform, Python",FULL_TIME,Principal Site Reliability Engineer Dell Technologies customers rely on our products and services to drive progress.,8+ Years of experience in DevOps and Go-Lang.,Redhat Linux certification (RHCE) preferred.,"Hands on knowledge with Ansible, Terraform and Python Good Knowledge on AI, ML and GenAI skills would be added advantage.","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Principal-Site-Reliability-Engineer--DevOps-Go-Lang---Ansible-Terraform--Python_R244513-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Principal-Site-Reliability-Engineer--DevOps-Go-Lang---Ansible-Terraform--Python_R244513-1
22,R244522,2024-05-29,Dell Technologies,"Senior Principal Site Reliability Engineer-DevOps,Go-Lang &amp; Ansible,Terraform, Python",FULL_TIME,Senior Principal Site Reliability Engineer Dell Technologies customers rely on our products and services to drive progress.,12+ Years of experience in DevOps and Go-Lang.,Redhat Linux certification (RHCE) preferred.,"Hands on knowledge with Ansible, Terraform and Python","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Senior-Principal-Site-Reliability-Engineer-DevOps-Go-Lang---Ansible-Terraform--Python_R244522,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Senior-Principal-Site-Reliability-Engineer-DevOps-Go-Lang---Ansible-Terraform--Python_R244522
23,R239313,2024-05-29,Dell International Services India Pvt Ltd (7451),Apprentice Manufacturing,FULL_TIME,Join us as an Apprentice on our Apprentice Manufacturing team in Sriperumbudur to do the best work of your career and make a profound social impact.,Quick learner and willing to accept the new tasks,"Any degree or diploma graduated/completed in the year of 2021, 2022 or 2023",Electronics and basic computer hardware’s skills will be added advantage,"Sriperumbudur, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Apprentice-Manufacturing_R239313,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Sriperumbudur-India/Apprentice-Manufacturing_R239313
24,R240716,2024-05-29,Dell International Services India Pvt Ltd (7451),Software Principal Engineer,FULL_TIME,Software Principal Engineer The Software Engineering team delivers next-generation application enhancements and new products for a changing world.,8 - 12 years of related experience,Bachelor’s degree,"Good knowledge of programming languages C or C++; operating systems; firmware; BIOS; device drivers; databases; system, network, operating system, and application administration; embedded software/firmware; tools and utilities Familiarity with WAVES, and Qualcomm's Fluence and Microsoft MEP Ability to learn new tools, languages and operating systems with some training and on-the-job experience","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Principal-Engineer_R240716,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Principal-Engineer_R240716
25,R241494,2024-05-29,Dell International Services India Pvt Ltd (7451),Software Principal Engineer,FULL_TIME,Software Principal Engineer The Software Engineering team delivers next-generation application enhancements and new products for a changing world.,8 to 12 years of UEFI development experience or 10+ years C programming expertise for Embedded systems / micro controllers.,Bachelor’s or master’s degree in computer science or related field.,Strong problem-solving and analytical skills. Agility to adapt to technologies and processes quickly. Strong programming and debugging experience in C. Strong desire to work as a team and design & develop with a customer focus.,"Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Principal-Engineer_R241494-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Principal-Engineer_R241494-1
26,R238633,2024-05-29,Dell International Services India Pvt Ltd (7451),Software Senior Engineer,FULL_TIME,Senior Software Engineer (ServiceNow Developer) The Software Engineering team delivers next-generation application enhancements and new products for a changing world.,5-8 years as a ServiceNow platform developer.,"Experience in ServiceNow architecture and primary applications like Incident, Service Catalog, Change, CMDB, KB, Self-Service, and Update Sets.","Experience in programming languages like JavaScript, Glide AngularJS, Jelly, HTML/CSS and XML/JSON.","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Senior-Engineer_R238633-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Senior-Engineer_R238633-1
27,R225578,2024-05-29,Dell International Services India Pvt Ltd (7451),Software Principal Engineer,FULL_TIME,Join us as a Software Principal Engineer on our PowerFlex engineering team in Bangalore - India to do the best work of your career and make a profound social impact.,"8-12 years of hands-on experience (domain experience) in storage, Linux.",Bachelor's degree in Computer Science or related field,"Excellent coding skills, and in-depth knowledge of C/C++.","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Principal-Engineer_R225578,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Software-Principal-Engineer_R225578
28,R236722,2024-05-29,Dell International Services India Pvt Ltd (7451),"Senior Advisor, Project| Program Management",FULL_TIME,Senior Advisor Program Management The Sales Policy & Process Transformation team is looking for a Process Transformation Sr. Advisor to join our team.,8+ years of related experience in a professional role,Six Sigma certification or equivalent background,Broad range of experience across multiple functional areas with Process Transformation/ Process Reengineering,"Pune, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Sr-Advisor--Project-Program-Management--Sales-Process-Transformation_R236722-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Pune-India/Sr-Advisor--Project-Program-Management--Sales-Process-Transformation_R236722-1
29,R243819,2024-05-28,Dell Federal Systems LP (1003),Senior Customer Delivery PMO Program Manager,FULL_TIME,Innovative projects that deliver cutting edge results do not run themselves.,15+ years of related experience in a professional role with a Bachelor’s or equivalent experience,A current (active or good standing within 2 years) US Govt security clearance at the Top Secret/SCI level,PMI/Project Management (PMP) and/or Program Management Professional (PgMP) Certification,"McLean, Virginia, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Senior-Customer-Delivery-PMO-Program-Manager_R243819-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/McLean-Virginia-United-States/Senior-Customer-Delivery-PMO-Program-Manager_R243819-1
30,R245984,2024-05-28,Dell Technologies,AI Research Engineer,FULL_TIME,"AI Research Engineer Operating at the furthest reaches of the leading edge, our Research Scientists discover and create ground-breaking new technologies, materials and phenomena.","8+ years of experience in AI, ML, DL, and Reinforcement Learning (RL), with an emphasis on Research in AI/ML/DL technologies",MS/PhD/Bachelors’ degree or a combination of experience and education,"Extensive knowledge and practical experience with deep learning, reinforcement learning, and Graph Neural Networks","Round Rock, Texas, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/AI-Research-Engineer_R245984,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Round-Rock-Texas-United-States/AI-Research-Engineer_R245984
31,R245986,2024-05-28,Dell Technologies,AI Research Engineer,Full Time,"AI Research Engineer Operating at the furthest reaches of the leading edge, our Research Scientists discover and create ground-breaking new technologies, materials and phenomena.","8+ years of experience in AI, ML, DL, and Reinforcement Learning (RL), with an emphasis on Research in AI/ML/DL technologies and a MS/PhD/Bachelors’ degree or a combination of experience and education",MS/PhD/Bachelors’ degree or a combination of experience and education,"Extensive knowledge and practical experience with deep learning, reinforcement learning, and Graph Neural Networks","Round Rock, Texas, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/AI-Research-Engineer_R245986,https://dell.wd1.myworkdayjobs.com/en-US/External/job/AI-Research-Engineer_R245986
32,R239221,2024-05-28,Dell Technologies,Networking Sales Specialist,Full Time,Sell innovation to the world,8 to 12 years of related experience in a relationship selling role,Bachelor’s degree,"Advanced knowledge of technical products, vendors and families of technologies","Toronto, Ontario, Canada",Canada,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Networking-Sales-Specialist_R239221-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Toronto-Ontario-Canada/Networking-Sales-Specialist_R239221-1
33,R240914,2024-05-22,Dell International Services India Pvt Ltd (7451),Data Science Senior Advisor,FULL_TIME,Data Science Senior Advisor Data Science is all about breaking new ground to enable businesses to answer their most urgent questions.,8 to 11 years of experience in a related role or equivalent skill/education,Masters or PhD in a quantitative discipline,"Strong coding skills in Python and SQL and machine Learning knowledge (Deep learning, NLP, Classification, Forecasting, Regression, GenAI etc. on large datasets) with experience in ML model deployment","Bangalore, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Data-Science-Senior-Advisor_R240914-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Bangalore-India/Data-Science-Senior-Advisor_R240914-1
34,R246118,2024-05-22,DELL USA L.P. (1001),Internal Audit SOX Senior Advisor,FULL_TIME,Internal Audit SOX Senior Advisor We’re a global business – a multi-billion-dollar corporation.,8+ years of professional experience,Bachelor’s degree,Audit/SOX background and experience in managing SOX projects,"Round Rock, Texas, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Internal-Audit-SOX-Senior-Advisor_R246118,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Round-Rock-Texas-United-States/Internal-Audit-SOX-Senior-Advisor_R246118
35,R241587,2024-05-22,Dell International Services India Pvt Ltd (7451),Business Development Lead - Artificial Intelligence (AI),FULL_TIME,Business Development Account Executive - India,15+ years of related sales business development experience,Minimum a bachelor’s degree in a related field (desired),10-12 years of deep technical expertise across multiple disciplines,"Gurgaon, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/R240353-Business-Development---Sales---Artificial-Intelligence--AI-_R241587,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Gurgaon-India/R240353-Business-Development---Sales---Artificial-Intelligence--AI-_R241587
36,R245749,2024-05-21,Dell Technologies,"Senior Engineer, Service Delivery",FULL_TIME,Senior Service Delivery Engineer,5 to 7 years of related experience in Tivoli Storage Manager and Spectrum Protect,Bachelors’ Degree,"IDPA, Avamar, Data Domain, IBM Tape Libraries, DPA are desired","Draper, Utah, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Senior-Engineer--Service-Delivery_R245749,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Draper-Utah-United-States/Senior-Engineer--Service-Delivery_R245749
37,R245716,2024-05-21,SecureWorks US (1315),Incident Response Senior Delivery Manager - Secureworks,FULL_TIME,Incident Response Senior Delivery Manager,10+ years of information security experience,3+ years leading a team or teams of cyber security professionals,"Professional degree relevant to cybersecurity or equivalent work experience. Technical or professional certifications, such as GCFA, CISA or CISSP, are a plus.","Remote - Texas, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Remote---Texas-United-States/Incident-Response-Senior-Delivery-Manager---Secureworks_R245716,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Remote---Texas-United-States/Incident-Response-Senior-Delivery-Manager---Secureworks_R245716
38,R244630,2024-05-21,SecureWorks India Pvt. Ltd. (7230),"Senior Manager, Software Engineering, Data",FULL_TIME,"Secureworks is a global cybersecurity leader, enabling customers to outpace and outmaneuver adversaries with more precision.",Minimum of 7 years of Software Development experience,Bachelor's degree in Computer Science or related field,"Strong understanding of database fundamentals, ability to collaborate with a wide audience, and experience working with kubernetes and designing microservice applications","Hyderabad, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/Senior-Manager--Software-Engineering--Data_R244630,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/Senior-Manager--Software-Engineering--Data_R244630
39,R244828,2024-05-21,SecureWorks India Pvt. Ltd. (7230),Software Senior Principal Engineer,FULL_TIME,Windows Sensor Principal Software Engineer,Strong experience and knowledge in C++ (17/20/22) Experience in Windows OS User-mode or Kernel-mode Development Solid knowledge with low-level OS internals,Bachelor's degree in Computer Science or related field,Strong experience and knowledge in C++ (17/20/22) Experience in Windows OS User-mode or Kernel-mode Development Solid knowledge with low-level OS internals,"Hyderabad, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/Software-Senior-Principal-Engineer_R244828,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/Software-Senior-Principal-Engineer_R244828
40,R244211,2024-05-21,SecureWorks India Pvt. Ltd. (7230),Software Principal Engineer,FULL_TIME,Title –Windows Sensor Principal Software Engineer,Strong experience and knowledge in C++ (17/20/22),Solid knowledge with low-level OS internals,"Strong experience and knowledge in C++ (17/20/22), Solid knowledge with low-level OS internals","Hyderabad, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/Software-Principal-Engineer_R244211,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/Software-Principal-Engineer_R244211
41,R237913,2024-05-20,Dell Marketing LP (1006),AI Business Development Account Executive,FULL_TIME,AI Business Development Account Executive Some of our most valuable business comes from existing customers.,Customarily and regularly engaged at client facilities,Bachelor’s degree,Field sales experience preferred,"Draper, Utah, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/AI-Business-Development-Account-Executive_R237913-1,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Draper-Utah-United-States/AI-Business-Development-Account-Executive_R237913-1
42,R245750,2024-05-20,Dell Technologies,Senior Engineer Site Reliability,Full Time,Senior Engineer Site Reliability Dell Technologies customers rely on our products and services to drive progress.,5-7 yrs,BE or MS in Computer Science or Computer Engineering,"Certified Kubernetes / OpenShift Admin, NSX T Certification","Austin, Texas, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Senior-Engineer-Site-Reliability_R245750,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Austin-Texas-United-States/Senior-Engineer-Site-Reliability_R245750
43,R244797,2024-05-17,SecureWorks India Pvt. Ltd. (7230),SaaS Ops Analyst,FULL_TIME,Ensure efficient and secure utilization of SaaS software used within an organization.,"1-3 years experience in an IT operations role, preferably within a SaaS or cloud-based business.",Bachelor’s degree in computer science or related area of study.,"Excellent financial acumen, including financial analysis, budgeting, and forecasting.","Hyderabad, India",India,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/IT-Cost-Analyst_R244797,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Hyderabad-India/IT-Cost-Analyst_R244797
44,R245237,2024-05-16,SecureWorks US (1315),Customer Success Manager - Secureworks - (US Remote),FULL_TIME,"Customer Success Manager for Secureworks, responsible for ensuring customers derive maximum value from their investments in Secureworks software.","Minimum of 4+ years’ experience in Customer Success or equivalent history of increasing customer satisfaction, adoption, and retention.",Minimum of 1 years of experience working in a SaaS environment,Minimum of 2 years of experience in network security or related discipline,"Remote - Georgia, United States",United States of America,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Customer-Success-Manager---Secureworks----US-Remote-_R245237,https://dell.wd1.myworkdayjobs.com/en-US/External/job/Remote---Georgia-United-States/Customer-Success-Manager---Secureworks----US-Remote-_R245237
